parametro,valor,semilla,ganador,estrategia,turno_final,cuota_final,combates,bajas,turno_inflexion,eventos,cancelados,aleatorios,ganador_guerra_continua
k_bajas,0.9,20260824,cimeria,ECONÓMICA,34,0.6250,14,597.91,20,409,12,28,0
k_bajas,0.9,20260825,cimeria,ECONÓMICA,34,0.6250,14,582.09,20,409,12,28,0
k_bajas,0.9,20260826,cimeria,ECONÓMICA,34,0.6250,14,599.21,20,409,12,28,0
k_bajas,0.9,20260827,cimeria,ECONÓMICA,200,0.5417,17,910.38,58,1635,12,34,0
k_bajas,0.9,20260828,cimeria,ECONÓMICA,34,0.6250,14,591.09,20,416,12,28,0
k_bajas,0.9,20260829,cimeria,ECONÓMICA,200,0.5833,15,971.38,30,1570,18,30,0
k_bajas,0.9,20260830,cimeria,ECONÓMICA,200,0.5000,20,1050.54,23,1603,15,40,0
k_bajas,0.9,20260831,cimeria,ECONÓMICA,200,0.5417,22,1218.19,24,1603,17,44,0
k_bajas,0.9,20260832,cimeria,ECONÓMICA,34,0.6250,14,565.41,20,416,12,28,0
k_bajas,0.9,20260833,cimeria,ECONÓMICA,34,0.6250,14,599.36,20,409,12,28,0
k_bajas,0.9,20260834,cimeria,ECONÓMICA,200,0.5833,26,1064.15,24,1491,16,52,0
