experimento,parametro,valor,semilla,ganador,turnos,insolvencias,provincias_ganador,tropas_ganador
desgaste,kBeta,0.7,1058,galia,19,5,11,1281
desgaste,kBeta,0.7,1059,galia,200,366,10,0
desgaste,kBeta,0.7,1060,galia,200,366,10,0
desgaste,kBeta,0.7,1061,galia,200,366,10,0
desgaste,kBeta,0.7,1062,galia,19,5,11,1281
desgaste,kBeta,0.7,1063,galia,19,5,11,1281
desgaste,kBeta,0.7,1064,galia,19,5,11,1281
desgaste,kBeta,0.7,1065,galia,200,366,10,0
desgaste,kBeta,0.7,1066,grecia,21,8,11,0
desgaste,kBeta,0.7,1067,galia,200,366,10,0
desgaste,kBeta,0.7,1068,galia,200,366,10,0
desgaste,kBeta,0.7,1069,grecia,21,6,12,0
desgaste,kBeta,0.7,1070,galia,19,5,11,1281
desgaste,kBeta,0.7,1071,galia,19,5,11,1281
desgaste,kBeta,0.7,1072,galia,19,5,11,1281
desgaste,kBeta,0.7,1073,galia,200,366,10,0
desgaste,kBeta,0.7,1074,galia,200,366,10,0
desgaste,kBeta,0.7,1075,galia,200,366,10,0
desgaste,kBeta,0.7,1076,galia,200,366,10,0
desgaste,kBeta,0.7,1077,galia,200,366,10,0
desgaste,kBeta,0.7,1078,galia,200,366,10,0
desgaste,kBeta,0.7,1079,galia,200,358,9,0
desgaste,kBeta,0.7,1080,galia,200,366,10,0
desgaste,kBeta,0.7,1081,galia,200,366,10,0
desgaste,kBeta,0.7,1082,galia,19,5,11,1281
desgaste,kBeta,0.7,1083,galia,200,366,10,0
desgaste,kBeta,0.7,1084,galia,19,5,11,1281
desgaste,kBeta,0.7,1085,galia,19,5,11,1281
desgaste,kBeta,0.7,1086,galia,19,5,11,1281
desgaste,kBeta,0.7,1087,galia,200,366,10,0
desgaste,kBeta,0.7,1088,galia,19,5,11,1281
desgaste,kBeta,0.7,1089,galia,19,5,11,1281
desgaste,kBeta,0.7,1090,galia,200,366,10,0
desgaste,kBeta,0.7,1091,galia,19,5,11,1281
desgaste,kBeta,0.7,1092,galia,200,366,10,0
desgaste,kBeta,0.7,1093,galia,200,366,10,0
desgaste,kBeta,0.7,1094,grecia,22,6,12,0
desgaste,kBeta,0.7,1095,galia,200,366,10,0
desgaste,kBeta,0.7,1096,grecia,21,8,11,0
desgaste,kBeta,0.7,1097,galia,19,5,11,1281
desgaste,kBeta,0.7,1098,galia,200,366,10,0
desgaste,kBeta,0.7,1099,grecia,22,6,12,0
desgaste,kBeta,0.9,1000,galia,19,5,11,1281
desgaste,kBeta,0.9,1001,galia,200,366,10,0
desgaste,kBeta,0.9,1002,grecia,22,6,12,0
desgaste,kBeta,0.9,1003,grecia,21,8,11,0
desgaste,kBeta,0.9,1004,grecia,22,6,12,0
desgaste,kBeta,0.9,1005,galia,200,366,10,0
desgaste,kBeta,0.9,1006,galia,200,364,10,0
desgaste,kBeta,0.9,1007,grecia,21,8,11,0
desgaste,kBeta,0.9,1008,grecia,21,6,12,0
desgaste,kBeta,0.9,1009,grecia,22,6,12,0
desgaste,kBeta,0.9,1010,grecia,200,363,10,0
desgaste,kBeta,0.9,1011,galia,200,366,10,0
desgaste,kBeta,0.9,1012,galia,200,358,9,0
desgaste,kBeta,0.9,1013,galia,200,366,10,0
desgaste,kBeta,0.9,1014,galia,19,5,11,1281
desgaste,kBeta,0.9,1015,galia,200,366,10,0
desgaste,kBeta,0.9,1016,galia,200,366,10,0
desgaste,kBeta,0.9,1017,galia,200,366,10,0
desgaste,kBeta,0.9,1018,galia,200,366,10,0
desgaste,kBeta,0.9,1019,galia,19,5,11,1281
desgaste,kBeta,0.9,1020,galia,200,366,10,0
desgaste,kBeta,0.9,1021,galia,200,366,10,0
desgaste,kBeta,0.9,1022,grecia,22,6,12,0
desgaste,kBeta,0.9,1023,galia,200,364,10,0
desgaste,kBeta,0.9,1024,grecia,22,6,12,0
desgaste,kBeta,0.9,1025,grecia,21,8,11,0
desgaste,kBeta,0.9,1026,galia,19,5,11,1281
desgaste,kBeta,0.9,1027,galia,200,366,10,0
desgaste,kBeta,0.9,1028,galia,19,5,11,1281
desgaste,kBeta,0.9,1029,galia,200,366,10,0
desgaste,kBeta,0.9,1030,grecia,22,6,12,0
desgaste,kBeta,0.9,1031,grecia,21,8,11,0
desgaste,kBeta,0.9,1032,grecia,21,6,12,0
desgaste,kBeta,0.9,1033,galia,200,366,10,0
desgaste,kBeta,0.9,1034,grecia,22,6,12,0
desgaste,kBeta,0.9,1035,galia,200,366,10,0
desgaste,kBeta,0.9,1036,galia,200,366,10,0
desgaste,kBeta,0.9,1037,grecia,22,6,12,0
desgaste,kBeta,0.9,1038,grecia,22,6,12,0
desgaste,kBeta,0.9,1039,grecia,21,8,11,0
desgaste,kBeta,0.9,1040,galia,200,366,10,0
desgaste,kBeta,0.9,1041,galia,200,366,10,0
desgaste,kBeta,0.9,1042,galia,200,366,10,0
desgaste,kBeta,0.9,1043,grecia,21,8,11,0
desgaste,kBeta,0.9,1044,galia,200,358,9,0
desgaste,kBeta,0.9,1045,galia,200,366,10,0
desgaste,kBeta,0.9,1046,galia,200,366,10,0
desgaste,kBeta,0.9,1047,galia,200,366,10,0
desgaste,kBeta,0.9,1048,grecia,22,6,12,0
desgaste,kBeta,0.9,1049,galia,200,366,10,0
desgaste,kBeta,0.9,1050,galia,200,364,10,0
desgaste,kBeta,0.9,1051,grecia,21,8,11,0
desgaste,kBeta,0.9,1052,grecia,22,6,12,0
desgaste,kBeta,0.9,1053,galia,200,366,10,0
