experimento,parametro,valor,semilla,ganador,turnos,insolvencias,provincias_ganador,tropas_ganador
fortificacion,betaF,0.15,1038,galia,200,366,10,0
fortificacion,betaF,0.15,1039,galia,19,5,11,1281
fortificacion,betaF,0.15,1040,galia,19,5,11,1281
fortificacion,betaF,0.15,1041,galia,19,5,11,1281
fortificacion,betaF,0.15,1042,galia,19,5,11,1281
fortificacion,betaF,0.15,1043,galia,200,366,10,0
fortificacion,betaF,0.15,1044,galia,19,5,11,1281
fortificacion,betaF,0.15,1045,galia,19,5,11,1281
fortificacion,betaF,0.15,1046,galia,200,366,10,0
fortificacion,betaF,0.15,1047,galia,19,5,11,1281
fortificacion,betaF,0.15,1048,galia,19,5,11,1281
fortificacion,betaF,0.15,1049,galia,200,366,10,0
fortificacion,betaF,0.15,1050,grecia,22,6,12,0
fortificacion,betaF,0.15,1051,galia,19,5,11,1281
fortificacion,betaF,0.15,1052,grecia,21,8,11,0
fortificacion,betaF,0.15,1053,galia,19,5,11,1281
fortificacion,betaF,0.15,1054,galia,200,366,10,0
fortificacion,betaF,0.15,1055,galia,200,366,10,0
fortificacion,betaF,0.15,1056,galia,200,358,9,0
fortificacion,betaF,0.15,1057,galia,200,366,10,0
fortificacion,betaF,0.15,1058,galia,19,5,11,1281
fortificacion,betaF,0.15,1059,galia,200,366,10,0
fortificacion,betaF,0.15,1060,galia,200,366,10,0
fortificacion,betaF,0.15,1061,galia,200,366,10,0
fortificacion,betaF,0.15,1062,galia,19,5,11,1281
fortificacion,betaF,0.15,1063,galia,19,5,11,1281
fortificacion,betaF,0.15,1064,galia,19,5,11,1281
fortificacion,betaF,0.15,1065,galia,200,366,10,0
fortificacion,betaF,0.15,1066,grecia,21,8,11,0
fortificacion,betaF,0.15,1067,galia,200,366,10,0
fortificacion,betaF,0.15,1068,galia,200,366,10,0
fortificacion,betaF,0.15,1069,grecia,21,6,12,0
fortificacion,betaF,0.15,1070,galia,19,5,11,1281
fortificacion,betaF,0.15,1071,galia,19,5,11,1281
fortificacion,betaF,0.15,1072,galia,19,5,11,1281
fortificacion,betaF,0.15,1073,galia,200,366,10,0
fortificacion,betaF,0.15,1074,galia,200,366,10,0
fortificacion,betaF,0.15,1075,galia,200,366,10,0
fortificacion,betaF,0.15,1076,galia,200,366,10,0
fortificacion,betaF,0.15,1077,galia,200,366,10,0
fortificacion,betaF,0.15,1078,galia,200,366,10,0
fortificacion,betaF,0.15,1079,galia,200,358,9,0
fortificacion,betaF,0.15,1080,galia,200,366,10,0
fortificacion,betaF,0.15,1081,galia,200,366,10,0
fortificacion,betaF,0.15,1082,galia,19,5,11,1281
fortificacion,betaF,0.15,1083,galia,200,366,10,0
fortificacion,betaF,0.15,1084,galia,19,5,11,1281
fortificacion,betaF,0.15,1085,galia,19,5,11,1281
fortificacion,betaF,0.15,1086,galia,19,5,11,1281
fortificacion,betaF,0.15,1087,galia,200,366,10,0
fortificacion,betaF,0.15,1088,galia,19,5,11,1281
fortificacion,betaF,0.15,1089,galia,19,5,11,1281
fortificacion,betaF,0.15,1090,galia,200,366,10,0
fortificacion,betaF,0.15,1091,galia,19,5,11,1281
fortificacion,betaF,0.15,1092,galia,200,366,10,0
fortificacion,betaF,0.15,1093,galia,200,366,10,0
fortificacion,betaF,0.15,1094,grecia,22,6,12,0
fortificacion,betaF,0.15,1095,galia,200,366,10,0
fortificacion,betaF,0.15,1096,grecia,21,8,11,0
fortificacion,betaF,0.15,1097,galia,19,5,11,1281
fortificacion,betaF,0.15,1098,galia,200,366,10,0
fortificacion,betaF,0.15,1099,grecia,22,6,12,0
fortificacion,betaF,0.25,1000,galia,19,5,11,1281
fortificacion,betaF,0.25,1001,galia,19,5,11,1281
fortificacion,betaF,0.25,1002,grecia,21,8,11,0
fortificacion,betaF,0.25,1003,grecia,22,6,12,0
fortificacion,betaF,0.25,1004,galia,200,366,10,0
fortificacion,betaF,0.25,1005,grecia,21,6,12,0
fortificacion,betaF,0.25,1006,grecia,21,6,12,0
fortificacion,betaF,0.25,1007,galia,200,353,10,0
fortificacion,betaF,0.25,1008,galia,200,366,10,0
fortificacion,betaF,0.25,1009,galia,19,5,11,1281
fortificacion,betaF,0.25,1010,grecia,21,6,12,0
fortificacion,betaF,0.25,1011,galia,200,366,10,0
fortificacion,betaF,0.25,1012,galia,19,5,11,1281
fortificacion,betaF,0.25,1013,galia,19,5,11,1281
fortificacion,betaF,0.25,1014,galia,19,6,11,1281
fortificacion,betaF,0.25,1015,galia,200,366,10,0
fortificacion,betaF,0.25,1016,grecia,22,6,12,0
